title,who,what,keywords,keywords_bert
마스크 고현정 파격 작품 처음,마스크,살인 혐의,"['마스크', '파격', '고현정', '살인', '작품', '처음', '혐의', '백두산', '버거', '백화점', '백현동', '배포', '버스킹', '배지', '배우', '배송', '배상', '버스', '법률', '번의', '벌금', '배구', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '보강']","[""['마스크',"", ""'보강']"", ""'처음',"", ""'배송',"", ""'고현정',"", ""'살인',"", ""'작품',"", ""'백두산',"", ""'버거',"", ""'버스킹',""]"
한국 리퍼 대북 정찰 중고 무인기 양산 투입,방위사업청,대북 감시,"['대북', '정찰', '중고', '방위사업청', '양산', '리퍼', '감시', '무인기', '투입', '한국', '병동', '버거', '배송', '보강', '배우', '배지', '배포', '백두산', '병원', '백현동', '백화점', '버스', '변신', '버스킹', '배병준', '번의', '벌금', '법률', '법원', '법전']","[""['대북',"", ""'법전']"", ""'한국',"", ""'배우',"", ""'벌금',"", ""'배송',"", ""'법률',"", ""'정찰',"", ""'중고',"", ""'방위사업청',""]"
금융 보안 코리아 테크 참가,금융 위원회 한국 테크 지원 센터,디지털 금융 사이버 보안 이슈,"['금융', '테크', '보안', '센터', '참가', '코리아', '디지털', '이슈', '사이버', '위원회', '지원', '한국', '백현동', '버거', '백화점', '히알루론산', '백두산', '배포', '버스킹', '배지', '버스', '법률', '번의', '벌금', '배송', '법원', '법전', '베이트', '변경', '변신']","[""'변신']"", ""['금융',"", ""'지원',"", ""'한국',"", ""'법전',"", ""'히알루론산',"", ""'이슈',"", ""'사이버',"", ""'베이트',"", ""'백현동',""]"
스텔 란티스 코리아 푸조 주요 차종 이벤트 개최,스텔 란티스 코리아 푸조,전국 푸조 전시장 주요 차종 이벤트 연다 스텔 란티스 개최 푸조 카페 데이,"['푸조', '스텔', '란티스', '차종', '코리아', '주요', '이벤트', '개최', '데이', '전국', '카페', '전시장', '연다', '벌금', '법률', '병동', '배상', '배송', '배우', '배지', '변신', '배포', '변경', '백두산', '백현동', '베이트', '법전', '백화점', '버거', '배병준']","[""['푸조',"", ""'배병준']"", ""'배우',"", ""'백두산',"", ""'전국',"", ""'배상',"", ""'란티스',"", ""'주요',"", ""'이벤트',"", ""'변신',""]"
그래픽 북한 주요 식품 가격 추이,국가정보원,아사자 지난 기간 국가정보원 추정 북한 최근 기준 밀가루 설탕 식품 물가 크게,"['국가정보원', '식품', '북한', '밀가루', '기준', '지난', '물가', '아사자', '추정', '추이', '설탕', '그래픽', '크게', '기간', '주요', '최근', '가격', '방귀', '발령', '배포', '백두산', '백현동', '백화점', '버거', '버스', '발롱도르', '버스킹', '번의', '발각', '방글라데시']","[""['국가정보원',"", ""'방글라데시']"", ""'가격',"", ""'지난',"", ""'최근',"", ""'버스킹',"", ""'번의',"", ""'발각',"", ""'물가',"", ""'아사자',""]"
블록 체인 폴리콘랩스 생태계 조성,폴리곤 랩스,,"['폴리콘랩스', '랩스', '폴리곤', '생태계', '체인', '조성', '블록', '배상', '배송', '배우', '버거', '배지', '배포', '백두산', '백현동', '배병준', '백화점', '배구', '히알루론산', '버스킹', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['폴리콘랩스',"", ""'병원']"", ""'폴리곤',"", ""'배상',"", ""'배구',"", ""'배포',"", ""'백현동',"", ""'랩스',"", ""'생태계',"", ""'체인',""]"
제일제당 카카오 스케 관리 식품 개발 협력,카카오 스케,,"['카카오', '스케', '제일제당', '협력', '식품', '관리', '개발', '백두산', '백현동', '번의', '배포', '배지', '백화점', '배우', '버거', '버스', '버스킹', '법률', '벌금', '배상', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '보강', '보건', '배송']","[""['카카오',"", ""'배송']"", ""'협력',"", ""'배우',"", ""'법률',"", ""'제일제당',"", ""'백두산',"", ""'백현동',"", ""'번의',"", ""'배지',""]"
올림픽 유도 하형주 체육 공단 감사 단독 인터뷰 이종 스포츠 코너,기획 정실,내부 직원 거액 횡령 불미 사건,"['체육', '거액', '코너', '유도', '정실', '내부', '횡령', '불미', '하형주', '이종', '기획', '감사', '인터뷰', '스포츠', '직원', '올림픽', '단독', '공단', '사건', '배지', '버스', '배포', '백두산', '백현동', '백화점', '배우', '버거', '히알루론산', '버스킹', '번의']","[""'번의']"", ""'직원',"", ""['체육',"", ""'사건',"", ""'배우',"", ""'기획',"", ""'거액',"", ""'코너',"", ""'배포',"", ""'유도',""]"
김재중 주량 공개 소주 복분자주 위스키 기억 친구,,부산 국제 영화제,"['부산', '위스키', '복분자주', '소주', '영화제', '김재중', '주량', '기억', '친구', '국제', '공개', '발각', '백현동', '발롱도르', '백화점', '버거', '버스', '버스킹', '번의', '발령', '벌금', '법률', '배포', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['부산',"", ""'병원']"", ""'국제',"", ""'법전',"", ""'발령',"", ""'변경',"", ""'백현동',"", ""'변신',"", ""'위스키',"", ""'복분자주',""]"
썬앳 푸드 아메리칸 패밀리 레스토랑 롤스 오픈 잠실 롯데 월드 입점,썬앳 푸드,캐롤 친구,"['썬앳', '푸드', '패밀리', '아메리칸', '캐롤', '입점', '잠실', '레스토랑', '롤스', '롯데', '친구', '오픈', '월드', '발사체', '번의', '배포', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '반영', '반복', '법률', '벌금', '배우', '법원', '법전', '베이트']","[""['썬앳',"", ""'베이트']"", ""'배우',"", ""'캐롤',"", ""'법전',"", ""'잠실',"", ""'입점',"", ""'배포',"", ""'백두산',"", ""'백현동',""]"
국정원 평양 인근 폭탄 테러 파악 관련 동향 추적,국가정보원,폭발물 테러,"['테러', '폭탄', '동향', '폭발물', '국정원', '평양', '추적', '인근', '국가정보원', '파악', '관련', '변신', '버거', '보건', '배포', '백두산', '보강', '백현동', '백화점', '버스', '변경', '버스킹', '번의', '벌금', '배지', '병원', '병동', '법원', '법전', '베이트']","[""['테러',"", ""'베이트']"", ""'관련',"", ""'동향',"", '국정원', ""'법원',"", ""'배지',"", ""'버거',"", ""'폭탄',"", ""'병동',""]"
중국 부동산 자산 세계 경제 녹취록,중국 정부,리먼 브라더스 사태,"['중국', '녹취록', '자산', '브라더스', '리먼', '경제', '세계', '부동산', '정부', '사태', '발사체', '반박', '배송', '배우', '배지', '배포', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신']","[""'변신']"", ""['중국',"", '자산', ""'백두산',"", ""'녹취록',"", ""'브라더스',"", ""'리먼',"", ""'변경',"", ""'발사체',"", ""'반박',""]"
스텔라 밀러 특허 갈등 소멸 셀트 동아,인타,건의 자사 특허 침해,"['특허', '갈등', '스텔라', '소멸', '밀러', '건의', '인타', '동아', '셀트', '자사', '침해', '백화점', '배포', '배지', '배우', '백두산', '배송', '백현동', '버스킹', '버거', '버스', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동']","[""['특허',"", ""'병동']"", ""'배우',"", ""'백두산',"", ""'갈등',"", ""'스텔라',"", ""'소멸',"", ""'건의',"", ""'인타',"", ""'동아',""]"
실축 마지막 카일 워커 고백 사실 승부차기 차기,맨시티,사적 바람 사실 아내 발각,"['사실', '승부차기', '카일', '아내', '워커', '실축', '맨시티', '차기', '발각', '사적', '고백', '마지막', '바람', '버스', '배우', '배지', '보건복지부', '배포', '백두산', '백현동', '보건', '백화점', '버거', '병동', '버스킹', '변신', '벌금', '보강', '법률', '병원']","[""['사실',"", ""'바람',"", ""'병원']"", ""'버스킹',"", ""'백현동',"", ""'배지',"", ""'승부차기',"", ""'워커',"", ""'실축',"", ""'맨시티',""]"
할리웃 브리트니 불륜 적발 결혼 개월 이혼,불륜,브리트니 불륜,"['불륜', '브리트니', '이혼', '결혼', '할리웃', '적발', '개월', '배포', '번의', '백두산', '백현동', '백화점', '배지', '버거', '버스', '버스킹', '히알루론산', '법률', '벌금', '배송', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '보강', '보건', '배우']","[""['불륜',"", ""'배우']"", ""'벌금',"", ""'배포',"", ""'배지',"", ""'버거',"", ""'적발',"", ""'버스킹',"", ""'히알루론산',"", ""'법률',""]"
마이 데이터 본격 시행,마이 데이터 제도 도입 정부,마이 데이터 제도,"['마이', '데이터', '제도', '본격', '시행', '도입', '정부', '버거', '버스킹', '버스', '히알루론산', '백화점', '백두산', '배포', '배지', '배우', '백현동', '벌금', '번의', '배상', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '보강', '보건']","[""['마이',"", ""'제도',"", ""'보건']"", ""'배우',"", '제도', '제도', ""'배포',"", ""'데이터',"", ""'본격',"", ""'시행',""]"
지수 편입 한미 반도체 급등 사상 최고 경신 종목,모건스탠리 캐피털 인터내셔널,회생,"['급등', '회생', '편입', '모건스탠리', '사상', '캐피털', '경신', '종목', '인터내셔널', '지수', '반도체', '한미', '최고', '발언', '백두산', '백현동', '백화점', '발각', '버거', '버스', '버스킹', '반영', '번의', '반복', '벌금', '배지', '법률', '법원', '법전', '베이트']","[""'베이트']"", ""['급등',"", ""'발언',"", ""'종목',"", ""'사상',"", ""'모건스탠리',"", ""'백두산',"", ""'벌금',"", ""'캐피털',"", ""'경신',""]"
포스 영업일 슬랙 엘리 베이트 출시,포스,일반 영업 직원 실질 영업 활동 제대로,"['영업', '포스', '엘리', '베이트', '활동', '슬랙', '실질', '영업일', '직원', '일반', '제대로', '출시', '배송', '배우', '배지', '백현동', '배포', '백두산', '버스', '백화점', '버거', '배병준', '버스킹', '번의', '벌금', '법률', '법원', '법전', '변경', '변신']","[""'변신']"", ""['영업',"", ""'직원',"", ""'배우',"", ""'백현동',"", ""'포스',"", ""'슬랙',"", ""'실질',"", ""'변경',"", ""'제대로',""]"
브라질 해커 보우 나루 대통령 투표 해킹 의뢰,브라질 연방 경찰,의회 습격 사건,"['브라질', '해커', '보우', '의회', '투표', '나루', '의뢰', '연방', '해킹', '경찰', '습격', '사건', '대통령', '베이트', '버거', '배우', '배지', '병원', '배포', '백두산', '백현동', '백화점', '버스', '병동', '법전', '버스킹', '번의', '배송', '벌금', '법률']","[""['브라질',"", ""'법률']"", ""'대통령',"", ""'경찰',"", ""'사건',"", ""'배우',"", ""'베이트',"", ""'해커',"", ""'보우',"", ""'의회',""]"
고양시 대한민국 독서 대전 콘텐츠 공유 치킨 증정 이벤트,고양시,대한민국 독서 대전 고양,"['고양시', '독서', '대전', '대한민국', '콘텐츠', '공유', '고양', '치킨', '증정', '이벤트', '병동', '백화점', '배병준', '배상', '배송', '분량', '배우', '배지', '배포', '백두산', '백현동', '버거', '변신', '병원', '버스', '버스킹', '번의', '벌금', '법률', '법원']","[""['고양시',"", ""'법원']"", ""'배우',"", ""'대전',"", ""'대한민국',"", ""'증정',"", ""'이벤트',"", ""'배송',"", ""'독서',"", ""'공유',""]"
백현동 의혹 이재명 구속영장 청구 법원,민주당,백현동 특혜 의혹 사건,"['백현동', '의혹', '구속영장', '청구', '이재명', '특혜', '민주당', '법원', '사건', '배지', '백두산', '발령', '발각', '백화점', '버거', '버스', '버스킹', '번의', '벌금', '법률', '발목', '법전', '베이트', '변경', '변신', '병동', '병원', '보강', '보건', '보건복지부']","[""['백현동',"", ""'보건복지부']"", '법원', ""'사건',"", ""'버거',"", ""'의혹',"", ""'구속영장',"", ""'청구',"", ""'이재명',"", ""'특혜',""]"
코로나 이후 어린이 상선 체험 재개,코로나,코로나,"['코로나', '재개', '상선', '어린이', '체험', '이후', '히알루론산', '버스', '배우', '배지', '배포', '백두산', '백현동', '백화점', '버거', '버스킹', '배상', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '배송', '배병준', '보건']","[""['코로나',"", ""'체험',"", ""'보건']"", ""'버스킹',"", ""'재개',"", ""'상선',"", ""'어린이',"", ""'이후',"", ""'히알루론산',"", ""'배지',""]"
현대 그린 푸드 시니어 배송 통해 간편식 배송 노인 일자리,현대 백화점 그룹,직장인 점심 식사 배송,"['배송', '현대', '백화점', '그린', '일자리', '간편식', '노인', '식사', '점심', '시니어', '통해', '푸드', '직장인', '그룹', '버거', '백현동', '버스', '백두산', '배포', '배지', '버스킹', '히알루론산', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신']","[""['배송',"", ""'변신']"", ""'백현동',"", ""'그린',"", ""'일자리',"", ""'간편식',"", ""'변경',"", ""'식사',"", ""'점심',"", ""'시니어',""]"
서울 신라 호텔 세계 아트 페어 아트 캉스 공개,프리즈,프리즈 서울,"['아트', '프리즈', '서울', '신라', '캉스', '페어', '호텔', '세계', '공개', '배지', '배우', '배포', '백두산', '버스킹', '백현동', '백화점', '배송', '버거', '버스', '히알루론산', '법률', '번의', '벌금', '배병준', '법원', '법전', '베이트', '변경', '변신', '병동']","[""'병동']"", ""'배우',"", ""'세계',"", ""['아트',"", ""'공개',"", ""'법원',"", ""'백두산',"", ""'신라',"", ""'캉스',"", ""'페어',""]"
리그 외국인 득점 데얀 은퇴 선언 현역 생활 마무리,한국,한국,"['한국', '현역', '데얀', '득점', '은퇴', '마무리', '선언', '외국인', '리그', '생활', '백두산', '백현동', '버스', '배포', '배지', '백화점', '배우', '버거', '번의', '버스킹', '배상', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['한국',"", ""'외국인',"", ""'배우',"", ""'병원']"", ""'현역',"", ""'데얀',"", ""'은퇴',"", ""'마무리',"", ""'선언',"", ""'병동',""]"
어차피 지명 적토 망아지 외야 최대 이승민 지명 아마 야구,,사례,"['지명', '어차피', '망아지', '아마', '외야', '이승민', '적토', '사례', '야구', '최대', '베이트', '법전', '배우', '배지', '배포', '보강', '백두산', '병원', '백현동', '백화점', '버거', '버스', '병동', '버스킹', '번의', '변신', '배송', '벌금', '변경', '법률']","[""['지명',"", ""'법률']"", ""'배우',"", ""'배포',"", ""'어차피',"", ""'망아지',"", ""'아마',"", ""'외야',"", ""'이승민',"", ""'적토',""]"
박병곤 판사 이쯤 입장 기자 수첩 사회,대법원,노무현 대통령 부부 명예훼손 혐의,"['명예훼손', '이쯤', '노무현', '박병곤', '대법원', '입장', '사회', '부부', '수첩', '판사', '혐의', '기자', '대통령', '히알루론산', '백현동', '백화점', '버스', '백두산', '배포', '버거', '법률', '버스킹', '번의', '벌금', '배우', '법원', '법전', '베이트', '변경', '변신']","[""['명예훼손',"", ""'변신']"", ""'대통령',"", ""'배우',"", ""'기자',"", ""'법원',"", ""'히알루론산',"", ""'이쯤',"", ""'노무현',"", ""'입장',""]"
유행 밈코 투자 유의,트위터,페페 비트코인 블록 체인 표준 기반 밈코인 득세 때문 토대 비트코인 등장,"['비트코인', '유행', '득세', '때문', '등장', '트위터', '유의', '밈코인', '토대', '밈코', '페페', '블록', '체인', '표준', '기반', '투자', '배포', '배지', '백두산', '백현동', '배우', '백화점', '히알루론산', '버거', '버스', '버스킹', '번의', '벌금', '법률', '법원']","[""['비트코인',"", ""'투자',"", ""'법원']"", ""'배우',"", ""'표준',"", ""'유행',"", ""'득세',"", ""'때문',"", ""'등장',"", ""'트위터',""]"
사우디 빈살 왕세자 수낵 총리 공식 초청 영국 간다,영국 사우디,카슈끄 살해,"['영국', '사우디', '빈살', '총리', '초청', '왕세자', '살해', '카슈끄', '수낵', '간다', '공식', '배포', '백두산', '버스킹', '배지', '배우', '백현동', '백화점', '버거', '버스', '법률', '번의', '벌금', '배상', '법원', '법전', '베이트', '변경', '변신', '병동']","[""['영국',"", ""'병동']"", ""'총리',"", ""'배우',"", ""'초청',"", ""'버스킹',"", ""'사우디',"", ""'빈살',"", ""'왕세자',"", ""'살해',""]"
연세대 교정 윤기 명예 교수 차량,연세대학교 우관,윤석열 대통령 부친 윤기 연세대 명예 교수 차량 고인 재직 서울 서대문구 연세대학교 우관 뉴스,"['연세대', '교수', '우관', '명예', '윤기', '연세대학교', '차량', '교정', '고인', '서대문구', '재직', '부친', '윤석열', '뉴스', '서울', '대통령', '발목', '백현동', '백화점', '버거', '버스', '발롱도르', '버스킹', '번의', '벌금', '발령', '방귀', '법률', '배포', '법원']","[""['연세대',"", ""'뉴스',"", ""'대통령',"", ""'법원']"", ""'서울',"", ""'차량',"", '대통령', ""'교정',"", ""'연세대학교',"", ""'윤석열',""]"
해피 바이러스 현대 캐피탈 선의 라이프스타일,파일럿,배구,"['선의', '캐피탈', '해피', '파일럿', '라이프스타일', '바이러스', '현대', '배구', '발롱도르', '벌금', '백두산', '백현동', '백화점', '버거', '반영', '버스', '버스킹', '번의', '반복', '반박', '법률', '배지', '법원', '법전', '베이트', '변경', '변신', '병동', '병원', '반바지']","[""['선의',"", ""'반바지']"", ""'버스킹',"", ""'해피',"", ""'파일럿',"", ""'라이프스타일',"", ""'바이러스',"", ""'배구',"", ""'발롱도르',"", ""'벌금',""]"
유엔 안보리 북한 인권 공개 회의 개최,유엔 안전보장 이사회,북한 인권 문제,"['인권', '유엔', '북한', '이사회', '안전보장', '안보리', '회의', '문제', '개최', '공개', '버스킹', '버스', '백화점', '버거', '벌금', '백현동', '백두산', '배포', '번의', '히알루론산', '법률', '법원', '법전', '배우', '베이트', '변경', '변신', '병동', '병원', '보강']","[""['인권',"", ""'보강']"", ""'배우',"", ""'이사회',"", ""'안전보장',"", ""'백두산',"", ""'유엔',"", ""'안보리',"", ""'회의',"", ""'버스킹',""]"
연승 과제,위즈,위기,"['과제', '위즈', '연승', '위기', '히알루론산', '법률', '배포', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '번의', '벌금', '법전', '법원', '배우', '베이트', '변경', '변신', '병동', '병원', '보강', '보건', '보건복지부', '보고', '보고서', '배지', '배상']","[""'배상']"", ""['과제',"", ""'위기',"", ""'배우',"", ""'벌금',"", ""'위즈',"", ""'히알루론산',"", ""'법률',"", ""'배포',"", ""'백두산',""]"
레터 말레이시아 사이버 보안 행사 사이버 참가,말레이시아 디지털 신부 국방부 사이버 보안 정부 기관,문서 기반 해킹 공격,"['사이버', '보안', '말레이시아', '신부', '문서', '국방부', '참가', '행사', '레터', '공격', '해킹', '디지털', '기관', '기반', '정부', '부회장', '번의', '배송', '배우', '배지', '배포', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '법률', '벌금', '배병준']","[""['사이버',"", ""'배병준']"", ""'행사',"", ""'배우',"", ""'문서',"", ""'벌금',"", ""'해킹',"", ""'번의',"", ""'배송',"", ""'국방부',""]"
독일 뒤통수 냉기,한국 소비자원,해외 쇼핑몰 판매 에어컨 냉방 기능 작동 피해 사례,"['뒤통수', '냉기', '작동', '쇼핑몰', '소비자원', '에어컨', '냉방', '독일', '사례', '해외', '피해', '기능', '판매', '한국', '벌금', '베이트', '변신', '배지', '배포', '변경', '백두산', '백현동', '백화점', '법전', '버거', '법원', '버스', '배송', '버스킹', '번의']","[""'번의']"", ""['뒤통수',"", ""'작동',"", ""'쇼핑몰',"", ""'사례',"", ""'해외',"", ""'베이트',"", ""'냉기',"", ""'소비자원',"", ""'에어컨',""]"
건설 스위첸 라이브러리 주민 강연 개최,교보 문고,타이타닉호,"['라이브러리', '문고', '강연', '스위첸', '교보', '타이타닉호', '건설', '주민', '개최', '병원', '버스킹', '배포', '백두산', '백현동', '백화점', '보건복지부', '버거', '버스', '보건', '번의', '벌금', '법률', '배우', '법원', '법전', '베이트', '변경', '변신', '보강', '병동']","[""['라이브러리',"", ""'병동']"", ""'건설',"", ""'배우',"", ""'주민',"", ""'법전',"", ""'문고',"", ""'변경',"", ""'법률',"", ""'강연',""]"
세라 동행 프로그램 후원 협약,초록 우산 어린이재단,루게릭병,"['초록', '어린이재단', '동행', '루게릭병', '우산', '세라', '협약', '후원', '프로그램', '버스', '버거', '백두산', '백화점', '백현동', '배포', '배지', '배우', '배송', '버스킹', '히알루론산', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['초록',"", ""'프로그램',"", ""'병원']"", ""'배우',"", ""'배송',"", ""'병동',"", ""'백두산',"", ""'우산',"", ""'백현동',"", ""'배포',""]"
지방 세제 개편 사면 취득세 한도 면제,가구 주택,전세 사기,"['전세', '개편', '한도', '주택', '사면', '세제', '취득세', '면제', '지방', '가구', '사기', '버거', '배포', '백두산', '백현동', '백화점', '배지', '배우', '배송', '히알루론산', '버스', '버스킹', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동']","[""['전세',"", ""'병동']"", ""'한도',"", ""'세제',"", ""'변신',"", ""'사기',"", ""'버거',"", ""'배포',"", ""'백두산',"", ""'백현동',""]"
삼양식품 국물 라면 브랜드 출시,삼양식품,제품 종류 강도 한눈 보기 그래프 도식 브랜드 제공 직관 신제품 후추 소고기 라면 제품 스트레스 해소,"['브랜드', '삼양식품', '라면', '제품', '신제품', '스트레스', '그래프', '소고기', '도식', '국물', '해소', '종류', '한눈', '보기', '직관', '강도', '후추', '출시', '제공', '백두산', '배우', '배송', '배포', '배상', '배지', '히알루론산', '백현동', '백화점', '버거', '버스']","[""'라면',"", ""['브랜드',"", ""'보기',"", ""'버스']"", ""'배우',"", ""'소고기',"", ""'그래프',"", ""'스트레스',"", ""'한눈',"", ""'직관',""]"
방심 위원장 해촉 정연주 후임 희림 미디어 연대 공동 대표,미디어 연대,방송통신 심의 위원회 최근 해촉 정연주 위원장 후임 희림 미디어 연대 대표 위촉 대구 출신 신임 방심위 기자 이사 플러스 대표이사 사장 미디어 연대 공동 대표 윤석열 대통령 위촉,"['연대', '미디어', '대표', '위촉', '후임', '공동', '위원장', '희림', '해촉', '정연주', '이사', '심의', '방심', '출신', '신임', '플러스', '사장', '대표이사', '방심위', '방송통신', '윤석열', '최근', '대구', '기자', '위원회', '대통령', '백화점', '백두산', '배포', '배지']","[""['연대',"", ""'배지']"", ""'대통령',"", ""'대표',"", ""'미디어',"", '대통령', ""'최근',"", ""'방심',"", ""'배포',"", ""'위촉',""]"
장기 서학 개미 수익률 주목,미국,재정 적자 문제,"['장기', '재정', '개미', '서학', '수익률', '주목', '적자', '문제', '미국', '배포', '버스', '배지', '백두산', '백현동', '배우', '배송', '백화점', '버거', '히알루론산', '버스킹', '번의', '배상', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['장기',"", ""'히알루론산',"", ""'버거',"", ""'배포',"", ""'병동',"", ""'배지',"", ""'백두산',"", ""'백현동',"", ""'서학',"", ""'배송',""]"
김광현 오승환 일본 국가대표 에이스,세인트루이스,애덤 웨인라이트 시즌 종료 현역 은퇴 선언,"['종료', '오승환', '웨인라이트', '김광현', '애덤', '국가대표', '세인트루이스', '에이스', '현역', '선언', '시즌', '은퇴', '일본', '백두산', '백현동', '백화점', '번의', '배포', '버거', '버스', '배지', '버스킹', '히알루론산', '벌금', '법률', '배송', '법원', '법전', '베이트', '변경']","[""['종료',"", ""'변경']"", ""'백현동',"", ""'법률',"", ""'선언',"", ""'오승환',"", ""'웨인라이트',"", ""'김광현',"", ""'애덤',"", ""'국가대표',""]"
코란 모독 파키스탄 무슬림 교회 습격 방화,파키스탄,자란왈라 기독교인 코란 모독 이유 무슬림 기독교 구역 습격 교회 여러 파손,"['코란', '교회', '모독', '무슬림', '파키스탄', '습격', '방화', '이유', '파손', '기독교인', '여러', '자란왈라', '기독교', '구역', '백현동', '법률', '버거', '버스', '버스킹', '번의', '벌금', '백화점', '히알루론산', '법원', '법전', '백두산', '변경', '변신', '병동', '병원']","[""['코란',"", ""'병원']"", ""'기독교인',"", ""'이유',"", ""'기독교',"", ""'방화',"", ""'백현동',"", ""'법률',"", ""'버스킹',"", ""'번의',""]"
징비 나라 미래 이현종 시론,정부 조직 위원회 전북도,수해 대형 사고 학교 폭력,"['수해', '징비', '미래', '폭력', '전북도', '이현종', '나라', '조직', '사고', '시론', '학교', '대형', '정부', '위원회', '백화점', '배지', '배포', '배우', '배송', '백두산', '백현동', '히알루론산', '버거', '버스', '번의', '벌금', '법률', '법원', '법전', '베이트']","[""['수해',"", ""'베이트']"", ""'배우',"", ""'학교',"", ""'폭력',"", ""'시론',"", ""'번의',"", ""'배지',"", ""'전북도',"", ""'이현종',""]"
송재우 야구 오심 경기 일부 비디오 판독 시대 헛소리,심판 사람,스트라이크 판정 문제,"['일부', '판독', '헛소리', '사람', '비디오', '송재우', '오심', '스트라이크', '시대', '야구', '판정', '심판', '문제', '경기', '버거', '백화점', '히알루론산', '백두산', '백현동', '버스킹', '배포', '버스', '법률', '번의', '벌금', '배우', '법원', '법전', '베이트', '변경']","[""'변경']"", ""['일부',"", ""'사람',"", ""'배우',"", ""'헛소리',"", ""'버거',"", ""'판독',"", ""'비디오',"", ""'송재우',"", ""'오심',""]"
로또 당첨 자의 직장인 인증 회사 계속,직장인,행복,"['직장인', '당첨', '인증', '자의', '로또', '행복', '회사', '계속', '법전', '백화점', '배상', '배송', '병원', '배우', '배지', '배포', '백두산', '백현동', '병동', '버거', '법원', '버스', '버스킹', '번의', '배구', '변신', '벌금', '법률', '변경', '베이트']","[""['직장인',"", ""'베이트']"", ""'배우',"", ""'백두산',"", ""'당첨',"", ""'인증',"", ""'로또',"", ""'계속',"", ""'법전',"", ""'변경',""]"
연합 시론 전경련 복귀 수순 그룹 정경 유착 고리,전경련,국정 농단 사태,"['전경련', '정경', '연합', '수순', '유착', '농단', '국정', '고리', '시론', '복귀', '그룹', '사태', '버거', '버스', '백현동', '백두산', '버스킹', '번의', '배포', '백화점', '법률', '벌금', '배우', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['전경련',"", ""'병원']"", ""'배우',"", ""'수순',"", ""'유착',"", ""'백두산',"", ""'정경',"", ""'농단',"", ""'국정',"", ""'고리',""]"
우주 패권 강화 머스크 스페이스 적자 탈출,머스크,스페이스 사실 우주 발사체 시장 장악 보도 스페이스 경쟁 속도 가격 검증 재사용 로켓 발사체 시장 상당 부분 장악,"['스페이스', '발사체', '머스크', '장악', '우주', '시장', '상당', '재사용', '속도', '로켓', '탈출', '패권', '경쟁', '사실', '보도', '강화', '검증', '부분', '적자', '가격', '각성', '베이트', '백두산', '백현동', '백화점', '버거', '버스', '버스킹', '번의', '벌금']","[""['스페이스',"", ""'벌금']"", ""'사실',"", ""'시장',"", ""'가격',"", ""'보도',"", ""'재사용',"", ""'상당',"", ""'각성',"", ""'베이트',""]"
원전 포함 탄소 전원 확대 필요 에너지 장관 회의 강조,산업 통상 자원부,탄소,"['탄소', '필요', '강조', '포함', '원전', '전원', '확대', '통상', '장관', '자원부', '에너지', '회의', '산업', '발각', '백화점', '배우', '반박', '배지', '반바지', '배포', '백두산', '백현동', '버스', '버거', '배상', '버스킹', '번의', '벌금', '법률', '법원']","[""['탄소',"", ""'장관',"", ""'법원']"", ""'강조',"", ""'포함',"", ""'자원부',"", ""'발각',"", ""'필요',"", ""'원전',"", ""'전원',""]"
대전 관광 공사 해군 대학 업무 협약 체결,대전 관광 공사,꿀잼 도시 대전,"['대전', '관광', '공사', '꿀잼', '해군', '협약', '도시', '체결', '업무', '대학', '배지', '백두산', '백현동', '백화점', '버거', '버스', '배포', '히알루론산', '배송', '버스킹', '번의', '벌금', '법률', '법원', '법전', '베이트', '변경', '변신', '병동', '병원']","[""['대전',"", ""'병원']"", ""'대학',"", ""'배포',"", ""'꿀잼',"", ""'해군',"", ""'협약',"", ""'병동',"", ""'배지',"", ""'백두산',""]"
